name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_costfor_two_people,listed_intype,listed_incity
Jalsa,1,1,4.1,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800.0,Buffet,Banashankari
Spice Elephant,1,0,4.1,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800.0,Buffet,Banashankari
San Churro Cafe,1,0,3.8,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,Buffet,Banashankari
Addhuri Udupi Bhojana,0,0,3.7,88,Banashankari,Quick Bites,"South Indian, North Indian",300.0,Buffet,Banashankari
Grand Village,0,0,3.8,166,Basavanagudi,Casual Dining,"North Indian, Rajasthani",600.0,Buffet,Banashankari
Timepass Dinner,1,0,3.8,286,Basavanagudi,Casual Dining,North Indian,600.0,Buffet,Banashankari
Rosewood International Hotel - Bar & Restaurant,0,0,3.6,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800.0,Buffet,Banashankari
Onesta,1,1,4.6,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Cafes,Banashankari
Penthouse Cafe,1,0,4.0,324,Banashankari,Cafe,"Cafe, Italian, Continental",700.0,Cafes,Banashankari
Smacznego,1,0,4.2,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes,Banashankari
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,1,0,4.1,402,Banashankari,Cafe,Cafe,500.0,Cafes,Banashankari
Cafe Shuffle,1,1,4.2,150,Banashankari,Cafe,"Cafe, Italian, Continental",600.0,Cafes,Banashankari
The Coffee Shack,1,1,4.2,164,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500.0,Cafes,Banashankari
Caf-Eleven,0,0,4.0,424,Banashankari,Cafe,"Cafe, Continental",450.0,Cafes,Banashankari
Cafe Vivacity,1,0,3.8,90,Banashankari,Cafe,Cafe,650.0,Cafes,Banashankari
Catch-up-ino,1,0,3.9,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,Cafes,Banashankari
Kirthi's Biryani,1,0,3.8,144,Banashankari,Cafe,"Chinese, Cafe, Italian",700.0,Cafes,Banashankari
T3H Cafe,0,0,3.9,93,Banashankari,Cafe,"Cafe, Italian, American",300.0,Cafes,Banashankari
360 Atoms Restaurant And Cafe,1,0,3.1,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400.0,Cafes,Banashankari
The Vintage Cafe,1,0,3.0,62,Banashankari,Cafe,"Cafe, French, North Indian",400.0,Cafes,Banashankari
Woodee Pizza,1,0,3.7,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500.0,Cafes,Banashankari
Cafe Coffee Day,0,0,3.6,28,Banashankari,Cafe,"Cafe, Fast Food",900.0,Cafes,Banashankari
My Tea House,1,0,3.6,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600.0,Cafes,Banashankari
Hide Out Cafe,0,0,3.7,31,Banashankari,Cafe,Cafe,300.0,Cafes,Banashankari
CAFE NOVA,0,0,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600.0,Cafes,Banashankari
Coffee Tindi,1,0,3.8,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200.0,Cafes,Banashankari
Sea Green Cafe,0,0,3.3,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500.0,Cafes,Banashankari
Cuppa,0,0,3.3,23,Banashankari,Cafe,"Cafe, Fast Food",550.0,Cafes,Banashankari
Srinathji's Cafe,0,0,3.8,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550.0,Cafes,Banashankari
Redberrys,1,0,4.0,219,Basavanagudi,Cafe,"Cafe, Italian",600.0,Cafes,Banashankari
Foodiction,1,0,2.8,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500.0,Delivery,Banashankari
Sweet Truth,1,0,3.9,35,Banashankari,Delivery,"Bakery, Desserts",500.0,Delivery,Banashankari
Ovenstory Pizza,1,0,3.9,172,Banashankari,Delivery,Pizza,750.0,Delivery,Banashankari
Faasos,1,0,4.2,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500.0,Delivery,Banashankari
Behrouz Biryani,1,0,3.9,230,Banashankari,Delivery,Biryani,650.0,Delivery,Banashankari
Fast And Fresh,1,0,2.8,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400.0,Delivery,Banashankari
Szechuan Dragon,1,0,4.2,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600.0,Delivery,Banashankari
Empire Restaurant,1,0,4.4,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Delivery,Banashankari
Maruthi Davangere Benne Dosa,1,0,4.0,17,Banashankari,Quick Bites,South Indian,150.0,Delivery,Banashankari
Chaatimes,1,0,3.8,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200.0,Delivery,Banashankari
Havyaka Mess,0,0,3.9,28,Banashankari,Mess,South Indian,300.0,Delivery,Banashankari
McDonald's,1,0,3.9,286,Banashankari,Quick Bites,"Burger, Fast Food",500.0,Delivery,Banashankari
Domino's Pizza,1,0,3.9,540,Banashankari,Quick Bites,"Pizza, Fast Food",800.0,Delivery,Banashankari
Hotboxit,0,0,3.8,36,Banashankari,Delivery,"North Indian, Continental, Italian",400.0,Delivery,Banashankari
Kitchen Garden,1,0,3.6,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300.0,Delivery,Banashankari
Recipe,1,0,4.0,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450.0,Delivery,Banashankari
Beijing Bites,1,0,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850.0,Delivery,Banashankari
Tasty Bytes,1,0,3.1,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300.0,Delivery,Banashankari
Petoo,0,0,3.7,21,Banashankari,Quick Bites,North Indian,450.0,Delivery,Banashankari
Shree Cool Point,1,0,4.1,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150.0,Delivery,Banashankari
Corner House Ice Cream,0,0,4.3,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400.0,Delivery,Banashankari
Biryanis And More,1,0,4.0,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Delivery,Banashankari
Roving Feast,0,0,4.0,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450.0,Delivery,Banashankari
FreshMenu,1,0,3.9,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,Banashankari
Banashankari Donne Biriyani,1,0,3.8,104,Banashankari,Quick Bites,"Biryani, Fast Food",300.0,Delivery,Banashankari
Wamama,1,1,4.2,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,Delivery,Banashankari
Five Star Chicken,0,0,3.6,55,Banashankari,Quick Bites,"Fast Food, Burger",200.0,Delivery,Banashankari
XO Belgian Waffle,1,0,3.7,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400.0,Delivery,Banashankari
Peppy Peppers,0,0,4.2,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800.0,Delivery,Banashankari
Goa 0 Km,1,1,3.6,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800.0,Delivery,Banashankari
Chinese Kitchen,1,0,3.8,58,Basavanagudi,Quick Bites,Chinese,150.0,Delivery,Banashankari
1947,0,1,4.0,808,Banashankari,Casual Dining,"North Indian, Chinese",850.0,Delivery,Banashankari
Cake of the Day,0,0,3.7,78,Banashankari,"Bakery, Dessert Parlor",Bakery,150.0,Delivery,Banashankari
Kabab Magic,1,0,4.1,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400.0,Delivery,Banashankari
Namma Brahmin's Idli,1,0,3.6,34,Jayanagar,Quick Bites,South Indian,100.0,Delivery,Banashankari
Gustoes Beer House,0,0,4.1,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,Delivery,Banashankari
Sugar Rush,0,0,3.8,39,Banashankari,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari
Burger King,1,0,3.2,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600.0,Delivery,Banashankari
The Good Bowl,1,0,3.6,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500.0,Delivery,Banashankari
The Biryani Cafe,0,0,4.1,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300.0,Delivery,Banashankari
Spicy Tandoor,0,0,3.700448817952718,0,Banashankari,Quick Bites,North Indian,150.0,Delivery,Banashankari
LSD Cafe,0,0,2.9,84,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700.0,Delivery,Banashankari
Rolls On Wheels,0,0,3.6,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300.0,Delivery,Banashankari
Om Sri Vinayaka Chats,0,0,3.700448817952718,0,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",500.0,Delivery,Banashankari
Sri Guru Kottureshwara Davangere Benne Dosa,1,0,4.1,558,Basavanagudi,Quick Bites,South Indian,150.0,Delivery,Banashankari
Devanna Dum Biriyani Centre,1,0,3.6,28,Banashankari,Quick Bites,"Biryani, South Indian",300.0,Delivery,Banashankari
Kolbeh,0,0,3.7,22,Banashankari,Quick Bites,Fast Food,500.0,Delivery,Banashankari
Upahar Sagar,0,0,3.8,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350.0,Delivery,Banashankari
Kadalu Sea Food Restaurant,1,0,3.8,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,Delivery,Banashankari
Frozen Bottle,1,0,4.2,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400.0,Delivery,Banashankari
Parimala Sweets,0,0,3.5,14,Banashankari,Sweet Shop,"Mithai, Street Food",200.0,Delivery,Banashankari
Vaishali Deluxe,0,0,3.8,42,Banashankari,Casual Dining,"North Indian, Chinese",700.0,Delivery,Banashankari
Chill Out,0,0,3.700448817952718,0,Banashankari,Quick Bites,"South Indian, Chinese",100.0,Delivery,Banashankari
The Big O Bakes,0,0,4.0,66,Banashankari,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari
Meghana Foods,1,0,4.4,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600.0,Delivery,Banashankari
Krishna Sagar,0,0,3.5,31,Banashankari,Quick Bites,North Indian,200.0,Delivery,Banashankari
Dessert Rose,0,0,3.5,7,Banashankari,Dessert Parlor,Desserts,500.0,Delivery,Banashankari
Chickpet Donne Biryani House,0,0,3.7,21,Banashankari,Quick Bites,Biryani,250.0,Delivery,Banashankari
Me And My Cake,0,0,3.700448817952718,0,Banashankari,Delivery,"Bakery, Desserts",500.0,Delivery,Banashankari
Sunsadm,0,0,3.700448817952718,0,Banashankari,"Takeaway, Delivery",South Indian,400.0,Delivery,Banashankari
Annapooraneshwari Mess,0,0,3.700448817952718,0,Banashankari,Mess,South Indian,200.0,Delivery,Banashankari
Thanco's Natural Ice Creams,0,0,3.2,9,Banashankari,Dessert Parlor,Ice Cream,300.0,Delivery,Banashankari
Nandhini Deluxe,0,0,2.6,283,Banashankari,Casual Dining,North Indian,600.0,Delivery,Banashankari
Vi Ra's Bar and Restaurant,0,0,3.3,62,Banashankari,Bar,"South Indian, North Indian, Chinese",800.0,Delivery,Banashankari
Kaggis,0,0,3.8,64,Banashankari,Quick Bites,"Fast Food, Bakery",250.0,Delivery,Banashankari
Ayda Persian Kitchen,0,0,3.7,39,Banashankari,Casual Dining,"North Indian, Iranian",950.0,Delivery,Banashankari
Chatar Patar,0,0,3.7,65,Banashankari,Quick Bites,"Fast Food, Street Food",300.0,Delivery,Banashankari
Polar Bear,1,0,3.8,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Delivery,Banashankari
Kidambi's Kitchen,0,0,3.5,52,Banashankari,Quick Bites,South Indian,300.0,Delivery,Banashankari
Mane Thindi,0,0,3.7,130,Banashankari,Quick Bites,South Indian,200.0,Delivery,Banashankari
Kotian Karavali Restaurant,0,0,3.5,10,Banashankari,Quick Bites,"South Indian, Biryani",300.0,Delivery,Banashankari
Floured-Baked With Love,0,0,3.8,45,Banashankari,"Takeaway, Delivery",Bakery,400.0,Delivery,Banashankari
Cakes & Slices,0,0,3.5,13,Banashankari,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari
Spice 9,0,0,3.4,8,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300.0,Delivery,Banashankari
Coffee Shopee,0,0,3.700448817952718,0,Banashankari,"Takeaway, Delivery",Beverages,250.0,Delivery,Banashankari
Naveen Kabab & Biriyani Mane,0,0,3.2,9,Banashankari,Quick Bites,Biryani,300.0,Delivery,Banashankari
Katriguppe Donne Biryani,0,0,3.2,4,Banashankari,Quick Bites,North Indian,300.0,Delivery,Banashankari
Hari Super Sandwich,0,0,3.700448817952718,0,Banashankari,"Takeaway, Delivery","Sandwich, Pizza, Beverages",200.0,Delivery,Banashankari
Atithi Point Ande Ka Funda,0,0,3.1,29,Banashankari,Quick Bites,North Indian,150.0,Delivery,Banashankari
Just Bake,0,0,3.4,8,Banashankari,Bakery,"Bakery, Desserts",400.0,Delivery,Banashankari
Dharwad Line Bazaar Mishra Pedha,0,0,3.700448817952718,0,Banashankari,Dessert Parlor,Mithai,150.0,Delivery,Banashankari
Cake Bite,0,0,3.700448817952718,0,Banashankari,Bakery,Bakery,300.0,Delivery,Banashankari
Aarush's Food Plaza,0,0,3.700448817952718,0,Banashankari,Quick Bites,"North Indian, Street Food",200.0,Delivery,Banashankari
Wood Stove,0,0,3.700448817952718,0,Banashankari,"Takeaway, Delivery",South Indian,150.0,Delivery,Banashankari
Kulfi & More,0,0,3.700448817952718,0,Banashankari,Dessert Parlor,"Ice Cream, Desserts, Juices",150.0,Delivery,Banashankari
Kannadigas Karavali,0,0,3.700448817952718,0,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",250.0,Delivery,Banashankari
K27 - The Pub,0,0,3.1,30,Banashankari,Bar,"Chinese, North Indian",1000.0,Delivery,Banashankari
Bengaluru Coffee House,1,0,4.1,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300.0,Delivery,Banashankari
New Mangalore Lunch Home,0,0,3.3,7,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200.0,Delivery,Banashankari
Coffee Bytes,0,0,3.1,6,Banashankari,Quick Bites,"Fast Food, South Indian",100.0,Delivery,Banashankari
Parjanya Chat Zone,0,0,3.3,17,Banashankari,Quick Bites,"Street Food, Fast Food",200.0,Delivery,Banashankari
Kwality Wall's Swirl's Happiness Station,0,0,2.9,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200.0,Delivery,Banashankari
Soms Kitchen & Bakes,0,0,3.700448817952718,0,Banashankari,Delivery,"South Indian, North Indian, Continental",400.0,Delivery,Banashankari
Banashankari Nati Style,0,0,3.700448817952718,0,Banashankari,Quick Bites,"Biryani, Chinese, South Indian, North Indian",350.0,Delivery,Banashankari
Ruchi Maayaka,0,0,3.3,8,Banashankari,Delivery,South Indian,100.0,Delivery,Banashankari
Mohitesh Hut Roll,0,0,3.700448817952718,0,Banashankari,Quick Bites,"Rolls, North Indian",150.0,Delivery,Banashankari
Sri Basaveshwar Jolada Rotti Oota,0,0,3.700448817952718,0,Banashankari,Quick Bites,South Indian,150.0,Delivery,Banashankari
Roll Magic Fast Food,0,0,3.700448817952718,0,Banashankari,"Takeaway, Delivery","Biryani, Rolls, Chinese",200.0,Delivery,Banashankari
Foodlieious Multi Cuisine,0,0,3.700448817952718,0,Banashankari,Quick Bites,North Indian,100.0,Delivery,Banashankari
Thanishka Nati And Karavali Style,0,0,3.700448817952718,0,Banashankari,Quick Bites,"Biryani, Fast Food",400.0,Delivery,Banashankari
Swathi Cool Point,0,0,3.700448817952718,0,Banashankari,Beverage Shop,"Beverages, Juices",200.0,Delivery,Banashankari
Kaumudis Juoice,0,0,3.700448817952718,0,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",150.0,Delivery,Banashankari
Amma - Manae,0,0,3.700448817952718,0,Banashankari,"Takeaway, Delivery",South Indian,400.0,Delivery,Banashankari
Sri Sai Tiffannies,0,0,3.700448817952718,0,Banashankari,Quick Bites,"South Indian, Chinese",150.0,Delivery,Banashankari
Hotel Andhra Speices,0,0,3.700448817952718,0,Banashankari,Quick Bites,Andhra,250.0,Delivery,Banashankari
Sri Murari Family Restaurant,0,0,3.700448817952718,0,Banashankari,Quick Bites,Biryani,250.0,Delivery,Banashankari
Aramane Donne Biriyani,0,0,3.700448817952718,0,Banashankari,Quick Bites,"South Indian, Biryani",150.0,Delivery,Banashankari
Darkolates,0,0,3.700448817952718,0,Banashankari,Confectionery,Desserts,200.0,Delivery,Banashankari
Swaada Healthy Kitchen,0,0,3.700448817952718,0,Banashankari,"Quick Bites, Beverage Shop","Healthy Food, Juices, Sandwich",350.0,Delivery,Banashankari
Gawdaru Mane Beriyani,0,0,3.700448817952718,0,Banashankari,Quick Bites,"South Indian, Biryani",300.0,Delivery,Banashankari
Melting Melodies,0,0,3.700448817952718,0,Banashankari,"Takeaway, Delivery","Pizza, Fast Food",100.0,Delivery,Banashankari
New Indraprasta,0,0,3.700448817952718,0,Banashankari,Quick Bites,"South Indian, Beverages",150.0,Delivery,Banashankari
Anna Kuteera,1,0,4.0,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450.0,Delivery,Banashankari
Darbar,0,0,3.0,98,Banashankari,Bar,"North Indian, Chinese",800.0,Delivery,Banashankari
Vijayalakshmi,1,0,3.9,47,Basavanagudi,Quick Bites,South Indian,200.0,Delivery,Banashankari
Sri Udupi Food Hub,1,1,4.1,175,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500.0,Delivery,Banashankari
Udupi Upahar,1,0,3.8,58,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300.0,Delivery,Banashankari
House Of Kebabs,1,0,3.8,540,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650.0,Delivery,Banashankari
Roll N Rock,1,0,3.8,124,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400.0,Delivery,Banashankari
BOX8- Desi Meals,1,0,4.1,340,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500.0,Delivery,Banashankari
KFC,1,0,3.8,505,Banashankari,Quick Bites,"Burger, Fast Food",450.0,Delivery,Banashankari
Bitez,0,0,3.700448817952718,0,Banashankari,Quick Bites,Fast Food,100.0,Delivery,Banashankari
Roll Over,1,0,4.1,438,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Delivery,Banashankari
Imperial Restaurant,1,0,3.7,264,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750.0,Delivery,Banashankari
Lassi Shop,1,0,3.9,169,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150.0,Delivery,Banashankari
The Fortuna,1,0,3.0,67,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250.0,Delivery,Banashankari
Wahab,1,0,3.7,97,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350.0,Delivery,Banashankari
Al Diwan Biryanis And More,1,0,3.3,12,Basavanagudi,"Takeaway, Delivery",Biryani,300.0,Delivery,Banashankari
New Gowda's Fried Chicken,1,0,3.3,12,Banashankari,Quick Bites,Biryani,300.0,Delivery,Banashankari
Canton,1,0,3.6,195,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800.0,Delivery,Banashankari
Diabetics Dezire Sugarless Sweets and Bakes,1,0,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300.0,Delivery,Banashankari
The Blue Wagon - Kitchen,1,0,4.6,228,Jayanagar,Cafe,"Cafe, Beverages",400.0,Delivery,Banashankari
HOT COFFEE,1,0,4.1,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150.0,Delivery,Banashankari
Patio 805,1,1,4.1,364,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200.0,Delivery,Banashankari
Lassi Corner,1,0,3.7,107,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150.0,Delivery,Banashankari
Sagar Deluxe,1,0,3.2,167,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",300.0,Delivery,Banashankari
Kanti Sweets,1,0,4.0,115,Banashankari,Sweet Shop,"Mithai, Street Food",400.0,Delivery,Banashankari
Vegetalia,1,0,3.7,27,Banashankari,"Takeaway, Delivery","Italian, Pizza",400.0,Delivery,Banashankari
Aramane Donne Biryani,1,0,3.5,57,Banashankari,Quick Bites,Biryani,200.0,Delivery,Banashankari
Ande Ka Funda,1,0,3.8,120,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250.0,Delivery,Banashankari
Cake Ghar,1,0,3.8,15,Basavanagudi,Bakery,Bakery,400.0,Delivery,Banashankari
Energy Addaa,1,0,4.2,64,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,Delivery,Banashankari
Bhattara Bhojana,1,0,3.6,66,Banashankari,Quick Bites,South Indian,150.0,Delivery,Banashankari
Tandoori Knight,1,0,3.0,290,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450.0,Delivery,Banashankari
Dev Sagar - Food Street,1,0,4.1,233,Basavanagudi,Quick Bites,Street Food,200.0,Delivery,Banashankari
Mitraa Da Pizza,1,0,3.8,115,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",250.0,Delivery,Banashankari
Paradise Premium,1,0,3.1,119,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700.0,Delivery,Banashankari
Grazers,1,1,3.9,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650.0,Delivery,Banashankari
Shakes Theory,1,0,4.5,155,Jayanagar,Beverage Shop,"Beverages, Sandwich",300.0,Delivery,Banashankari
@Italy,1,0,4.1,305,Kumaraswamy Layout,Casual Dining,Italian,700.0,Delivery,Banashankari
Chilli Flakes,1,0,3.6,46,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500.0,Delivery,Banashankari
Calcutta Cafe,1,0,3.5,45,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",350.0,Delivery,Banashankari
Old Mumbai Ice Cream,1,0,3.9,38,Banashankari,Dessert Parlor,Ice Cream,150.0,Delivery,Banashankari
Donne Biriyani House,1,0,3.9,441,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400.0,Delivery,Banashankari
By 2 Coffee,1,0,3.9,25,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,Banashankari
Kedia's Fun Food,1,0,4.3,630,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200.0,Delivery,Banashankari
Davangere Butter Dosa Hotel,1,0,3.8,25,Kumaraswamy Layout,Quick Bites,South Indian,150.0,Delivery,Banashankari
Just Shawarma,1,0,3.9,160,Kumaraswamy Layout,Quick Bites,Arabian,300.0,Delivery,Banashankari
Mini Punjabi Dhaba,1,0,4.2,287,Banashankari,Quick Bites,North Indian,350.0,Delivery,Banashankari
Mulabagilu Dosa,1,0,3.6,11,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,Banashankari
Gokul Veg,1,0,3.8,469,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750.0,Delivery,Banashankari
Olive - Era,1,0,3.3,511,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0,Delivery,Banashankari
Udupi Ruchi,1,0,3.9,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0,Delivery,Banashankari
Madhappa Hindu Military Hotel,1,0,3.4,14,Banashankari,Quick Bites,South Indian,300.0,Delivery,Banashankari
Gama Gama,1,0,3.9,264,Banashankari,Quick Bites,South Indian,200.0,Delivery,Banashankari
Pizza Hut,1,0,3.8,693,Banashankari,Casual Dining,"Pizza, Fast Food",750.0,Delivery,Banashankari
Mangalore Pearl,1,0,3.8,242,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650.0,Delivery,Banashankari
Asha Sweets Centre,1,0,3.6,27,Basavanagudi,Dessert Parlor,Fast Food,250.0,Delivery,Banashankari
Twiststick House,1,0,4.1,163,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500.0,Delivery,Banashankari
Cool Corner,1,0,4.2,191,Basavanagudi,Quick Bites,"Street Food, Fast Food",250.0,Delivery,Banashankari
Pizza Mane,1,0,3.5,32,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150.0,Delivery,Banashankari
Dal Tadkaa,1,0,2.5,247,Banashankari,Casual Dining,North Indian,500.0,Delivery,Banashankari
Chutney Chang,1,1,4.1,2339,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",1500.0,Delivery,Banashankari
Mystique Palate,1,0,4.1,337,Jayanagar,Quick Bites,"Chinese, Fast Food",300.0,Delivery,Banashankari
Thamboola,1,0,3.9,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800.0,Delivery,Banashankari
Castle Rock,1,0,3.6,172,Uttarahalli,Casual Dining,"North Indian, Chinese",700.0,Delivery,Banashankari
Vietnamese Kitchen,1,0,3.6,105,Banashankari,Casual Dining,Vietnamese,700.0,Delivery,Banashankari
C Corner,1,0,3.2,36,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",200.0,Delivery,Banashankari
Paratha Merchant,1,0,3.1,39,Kumaraswamy Layout,Quick Bites,North Indian,300.0,Delivery,Banashankari
North Rasoe,1,0,3.1,5,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500.0,Delivery,Banashankari
Inchara Restaurant,1,0,3.700448817952718,0,Basavanagudi,Quick Bites,"North Indian, Chinese",300.0,Delivery,Banashankari
Toscano,1,1,4.3,1129,Jayanagar,Casual Dining,"Italian, Salad",1300.0,Delivery,Banashankari
Lord Of The Kitchen,1,0,3.9,56,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",350.0,Delivery,Banashankari
Stoned Monkey,1,0,4.3,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500.0,Delivery,Banashankari
Central Jail Restaurant,1,0,3.8,412,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700.0,Delivery,Banashankari
Bella,1,1,3.9,142,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian",1000.0,Delivery,Banashankari
Vennela Andhra Meals,1,0,3.0,23,Jayanagar,Quick Bites,Andhra,400.0,Delivery,Banashankari
New Prashanth Hotel,1,0,3.6,143,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750.0,Delivery,Banashankari
The Grillo,1,1,2.8,80,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500.0,Delivery,Banashankari
Re Malnad Nati Style Hotel,1,0,3.6,16,JP Nagar,Casual Dining,South Indian,400.0,Delivery,Banashankari
Karma Kaapi,1,0,4.4,181,Jayanagar,Beverage Shop,"Beverages, Tea",250.0,Delivery,Banashankari
